ilosc 	 alpha 	 beta 	 pj_max 	 inst 	 time 	 wynik 	 regeneracja
 10 	 0.2 	 0.05 	 10 	 	 28	0	1174.12	9
 10 	 0.2 	 0.05 	 10 	 	 29	0	1924.54	11
 10 	 0.2 	 0.05 	 10 	 	 30	0	789.354	6
 10 	 0.2 	 0.05 	 10 	 	 31	0	1231.62	5
 10 	 0.2 	 0.05 	 10 	 	 32	0	1252.14	9
 10 	 0.2 	 0.05 	 10 	 	 33	0	1054.56	7
 10 	 0.2 	 0.05 	 10 	 	 34	0	1512.98	7
 10 	 0.2 	 0.05 	 10 	 	 35	0	1174.15	7
 10 	 0.2 	 0.05 	 10 	 	 36	0	645.334	5
 10 	 0.2 	 0.05 	 10 	 	 37	0	704.756	2
 10 	 0.2 	 0.05 	 10 	 	 38	0	988.809	9
 10 	 0.2 	 0.05 	 10 	 	 39	0	848.133	8
 10 	 0.2 	 0.05 	 10 	 	 40	0	860.078	9
 10 	 0.2 	 0.05 	 10 	 	 41	0	1095.09	3
 10 	 0.2 	 0.05 	 10 	 	 42	0	779.632	5
 10 	 0.2 	 0.05 	 10 	 	 43	0	1008.23	3
 10 	 0.2 	 0.05 	 10 	 	 44	0.016	535.567	2
 10 	 0.2 	 0.05 	 10 	 	 45	0	1191.89	6
 10 	 0.2 	 0.05 	 10 	 	 46	0	1378.3	8
 10 	 0.2 	 0.05 	 10 	 	 47	0	766.146	6
 10 	 0.2 	 0.05 	 10 	 	 48	0	1410.55	8
 10 	 0.2 	 0.05 	 10 	 	 49	0	699.436	5
wart srednie: 0.01632	52094	309	

-----------------------
 10 	 0.2 	 0.05 	 20 	 	 0	0	2022.1	13
 10 	 0.2 	 0.05 	 20 	 	 1	0	1928.1	6
 10 	 0.2 	 0.05 	 20 	 	 2	0	3274.1	16
 10 	 0.2 	 0.05 	 20 	 	 3	0	1982.77	14
 10 	 0.2 	 0.05 	 20 	 	 4	0	2614.74	14
 10 	 0.2 	 0.05 	 20 	 	 5	0.016	2505.71	16
 10 	 0.2 	 0.05 	 20 	 	 6	0	2655.08	14
 10 	 0.2 	 0.05 	 20 	 	 7	0	1672.66	11
 10 	 0.2 	 0.05 	 20 	 	 8	0.015	1508.22	9
 10 	 0.2 	 0.05 	 20 	 	 9	0	2661.38	7
 10 	 0.2 	 0.05 	 20 	 	 10	0	795.734	9
 10 	 0.2 	 0.05 	 20 	 	 11	0	2015.1	10
 10 	 0.2 	 0.05 	 20 	 	 12	0.016	3007.63	18
 10 	 0.2 	 0.05 	 20 	 	 13	0	1089.45	11
 10 	 0.2 	 0.05 	 20 	 	 14	0	2096.19	10
 10 	 0.2 	 0.05 	 20 	 	 15	0.016	2119.02	14
 10 	 0.2 	 0.05 	 20 	 	 16	0	3328.59	16
 10 	 0.2 	 0.05 	 20 	 	 17	0	2102.7	15
 10 	 0.2 	 0.05 	 20 	 	 18	0.015	2441.12	15
 10 	 0.2 	 0.05 	 20 	 	 19	0	1127.3	7
 10 	 0.2 	 0.05 	 20 	 	 20	0	427.548	6
 10 	 0.2 	 0.05 	 20 	 	 21	0	1262.51	7
 10 	 0.2 	 0.05 	 20 	 	 22	0.016	2126.2	14
 10 	 0.2 	 0.05 	 20 	 	 23	0	1454.41	15
 10 	 0.2 	 0.05 	 20 	 	 24	0	2448.13	17
